sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,436,Lenox - White Plains Rd,Harlem - 148 St,M,3,40.82388,-73.93647,EE352E,36061023600,0.925,36061023400,0.075,38160
2,437,Lenox - White Plains Rd,145 St,M,3,40.820421,-73.936245,EE352E,36061021400,0.629,36061023200,0.371,46061
3,438,Lenox - White Plains Rd,135 St,M,2 3,40.814229,-73.94077,EE352E,36061021200,0.728,36061022800,0.272,49052
4,439,Lenox - White Plains Rd,125 St,M,2 3,40.807754,-73.945495,EE352E,36061020000,0.67,36061022200,0.33,58470
5,440,Lenox - White Plains Rd,116 St,M,2 3,40.802098,-73.949625,EE352E,36061019000,0.721,36061018600,0.279,49524
6,441,Lenox - White Plains Rd,Central Park North (110 St),M,2 3,40.799075,-73.951822,EE352E,36061018600,0.663,36061021600,0.337,41964
7,310,Broadway - 7Av,96 St,M,1 2 3,40.793919,-73.972323,EE352E,36061018300,0.705,36061017900,0.295,107264
8,313,Broadway - 7Av,72 St,M,1 2 3,40.778453,-73.98197,EE352E,36061015900,0.625,36061015700,0.375,122581
9,317,Broadway - 7Av,Times Sq - 42 St,M,1 2 3,40.75529,-73.987495,EE352E,36061011300,0.938,36061011900,0.062,104235
10,318,Broadway - 7Av,34 St - Penn Station,M,1 2 3,40.750373,-73.991057,EE352E,36061010100,0.893,36061010900,0.107,149645
11,322,Broadway - 7Av,14 St,M,1 2 3,40.737826,-74.000201,EE352E,36061008100,0.521,36061007700,0.479,130941
12,327,Broadway - 7Av,Chambers St,M,1 2 3,40.715478,-74.009266,EE352E,36061002100,0.944,36061003300,0.056,246843
13,331,Clark St,Park Pl,M,2 3,40.713051,-74.008811,EE352E,36061002100,0.92,36061001300,0.08,241097
14,332,Clark St,Fulton St,M,2 3,40.709416,-74.006571,EE352E,36061002100,0.53,36061001300,0.47,198005
15,333,Clark St,Wall St,M,2 3,40.706821,-74.0091,EE352E,36061001300,0.748,36061002100,0.252,167227
16,334,Clark St,Clark St,Bk,2 3,40.697466,-73.993086,EE352E,36047000502,0.533,36047000501,0.467,117139
17,335,Clark St,Borough Hall,Bk,2 3,40.693219,-73.989998,EE352E,36047000900,0.517,36047001100,0.483,144507
18,336,Eastern Pky,Hoyt St,Bk,2 3,40.690545,-73.985065,EE352E,36047003700,0.924,36047001100,0.076,135460
19,337,Eastern Pky,Nevins St,Bk,2 3 4 5,40.688246,-73.980492,EE352E,36047003300,0.553,36047003900,0.447,113941
20,338,Eastern Pky,Atlantic Av - Barclays Ctr,Bk,2 3,40.684359,-73.977666,EE352E,36047003500,0.693,36047012901,0.307,86835
21,339,Eastern Pky,Bergen St,Bk,2 3,40.680829,-73.975098,EE352E,36047012902,0.851,36047016100,0.149,111102
22,340,Eastern Pky,Grand Army Plaza,Bk,2 3,40.675235,-73.971046,EE352E,36047015900,0.673,36047016300,0.327,120194
23,341,Eastern Pky,Eastern Pkwy - Brooklyn Museum,Bk,2 3,40.671987,-73.964375,EE352E,36047021500,0.848,36047020700,0.152,74817
24,342,Eastern Pky,Franklin Av,Bk,2 3 4 5,40.670682,-73.958131,EE352E,36047021700,0.666,36047021900,0.334,61022
25,343,Eastern Pky,Nostrand Av,Bk,3,40.669847,-73.950466,EE352E,36047031702,0.85,36047031900,0.15,61741
26,344,Eastern Pky,Kingston Av,Bk,3,40.669399,-73.942161,EE352E,36047033700,1.0,36047033500,0.0,67755
27,345,Eastern Pky,Crown Hts - Utica Av,Bk,3 4,40.668897,-73.932942,EE352E,36047035100,0.919,36047035300,0.081,33962
28,346,Eastern Pky,Sutter Av - Rutland Rd,Bk,3,40.664717,-73.92261,EE352E,36047089200,0.673,36047090000,0.327,20160
29,347,Eastern Pky,Saratoga Av,Bk,3,40.661453,-73.916327,EE352E,36047089400,0.998,36047089800,0.002,47171
30,348,Eastern Pky,Rockaway Av,Bk,3,40.662549,-73.908946,EE352E,36047091200,0.563,36047091600,0.437,22514
31,349,Eastern Pky,Junius St,Bk,3,40.663515,-73.902447,EE352E,36047091000,0.597,36047091800,0.403,15793
32,350,Eastern Pky,Pennsylvania Av,Bk,3,40.664635,-73.894895,EE352E,36047112600,0.766,36047113000,0.234,32956
33,351,Eastern Pky,Van Siclen Av,Bk,3,40.665449,-73.889395,EE352E,36047112400,0.713,36047112200,0.287,44856
34,352,Eastern Pky,New Lots Av,Bk,3,40.666235,-73.884079,EE352E,36047112400,0.54,36047112200,0.46,42460
