sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
27,192,Liberty Av,Rockaway Blvd,Q,A,40.680429,-73.843853,0039A6,36081004002,0.864,36081004001,0.136,82422
31,196,Rockaway,Aqueduct Racetrack,Q,A,40.672097,-73.835919,0039A6,36081008800,0.669,36081086400,0.331,78568
32,197,Rockaway,Aqueduct - N Conduit Av,Q,A,40.668234,-73.834058,0039A6,36081086400,0.519,36081008800,0.481,73906
33,198,Rockaway,Howard Beach - JFK Airport,Q,A,40.660476,-73.830301,0039A6,36081088400,0.829,36081084601,0.171,80337
34,199,Rockaway,Broad Channel,Q,A,40.608382,-73.815925,0039A6,36081107201,0.928,36081094202,0.072,80229
39,204,Rockaway,Beach 67 St,Q,A,40.590927,-73.796924,0039A6,36081095400,0.82,36081096400,0.18,56507
40,205,Rockaway,Beach 60 St,Q,A,40.592374,-73.788522,0039A6,36081097203,0.718,36081096400,0.282,35961
41,206,Rockaway,Beach 44 St,Q,A,40.592943,-73.776013,0039A6,36081097202,0.68,36081097204,0.32,37605
42,207,Rockaway,Beach 36 St,Q,A,40.595398,-73.768175,0039A6,36081099200,0.999,36081100802,0.001,26787
43,208,Rockaway,Beach 25 St,Q,A,40.600066,-73.761353,0039A6,36081100802,0.824,36081099801,0.176,61068
44,209,Rockaway,Far Rockaway - Mott Av,Q,A,40.603995,-73.755405,0039A6,36081103201,0.646,36081099801,0.354,46278
