sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,143,8th Av - Fulton St,Inwood - 207 St,M,A,40.868072,-73.919899,0039A6,36061030300,0.655,36061029300,0.345,53366
2,144,8th Av - Fulton St,Dyckman St,M,A,40.865491,-73.927271,0039A6,36061029500,0.579,36061028700,0.421,62722
3,145,8th Av - Fulton St,190 St,M,A,40.859022,-73.93418,0039A6,36061028100,0.775,36061027900,0.225,86861
4,146,8th Av - Fulton St,181 St,M,A,40.851695,-73.937969,0039A6,36061026500,0.616,36061027300,0.384,75584
5,147,8th Av - Fulton St,175 St,M,A,40.847391,-73.939704,0039A6,36061026300,0.552,36061026500,0.448,50247
6,148,8th Av - Fulton St,168 St,M,A C,40.840719,-73.939561,0039A6,36061025100,0.969,36061025300,0.031,32626
7,151,8th Av - Fulton St,145 St,M,A C B D,40.824783,-73.944216,0039A6,36061023100,0.842,36061025900,0.158,45178
8,153,8th Av - Fulton St,125 St,M,A B C D,40.811109,-73.952343,0039A6,36061020901,0.521,36061025700,0.479,51490
9,161,8th Av - Fulton St,59 St - Columbus Circle,M,A B C D,40.768296,-73.981736,0039A6,36061014500,0.564,36061013700,0.436,154659
10,163,8th Av - Fulton St,42 St - Port Authority Bus Terminal,M,A C E,40.757308,-73.989735,0039A6,36061012100,0.506,36061011300,0.494,89492
11,164,8th Av - Fulton St,34 St - Penn Station,M,A C E,40.752287,-73.993391,0039A6,36061011100,0.511,36061010100,0.489,126635
12,166,8th Av - Fulton St,14 St,M,A C E,40.740893,-74.00169,0039A6,36061007700,0.555,36061008300,0.445,106817
13,167,8th Av - Fulton St,W 4 St,M,A C E B D F M,40.732338,-74.000495,0039A6,36061006500,0.57,36061007100,0.43,121201
14,169,8th Av - Fulton St,Canal St,M,A C E,40.720824,-74.005229,0039A6,36061003300,0.721,36061004700,0.279,174519
15,170,8th Av - Fulton St,Chambers St,M,A C,40.714111,-74.008585,0039A6,36061002100,0.938,36061003100,0.062,247067
16,172,8th Av - Fulton St,Fulton St,M,A C,40.710197,-74.007691,0039A6,36061002100,0.561,36061001300,0.439,201436
17,173,8th Av - Fulton St,High St,Bk,A C,40.699337,-73.990531,0039A6,36047001300,0.645,36047000100,0.355,103558
18,174,8th Av - Fulton St,Jay St - MetroTech,Bk,A C F,40.692338,-73.987342,0039A6,36047001100,0.947,36047003700,0.053,127223
19,175,8th Av - Fulton St,Hoyt - Schermerhorn,Bk,A C G,40.688484,-73.985001,0039A6,36047003700,0.776,36047004100,0.224,132964
20,179,8th Av - Fulton St,Nostrand Av,Bk,A C,40.680438,-73.950426,0039A6,36047024700,0.889,36047024500,0.111,47787
21,181,8th Av - Fulton St,Utica Av,Bk,A C,40.679364,-73.930729,0039A6,36047029700,0.739,36047030900,0.261,52616
22,184,8th Av - Fulton St,Broadway Jct,Bk,A C,40.678334,-73.905316,0039A6,36047036700,0.955,36047040500,0.045,50861
23,188,8th Av - Fulton St,Euclid Av,Bk,A C,40.675377,-73.872106,0039A6,36047119600,0.864,36047119000,0.136,33420
24,189,Liberty Av,Grant Av,Bk,A,40.677044,-73.86505,0039A6,36047120200,0.732,36047118800,0.268,36720
25,190,Liberty Av,80 St,Q,A,40.679371,-73.858992,0039A6,36081004401,0.585,36081004200,0.415,55163
26,191,Liberty Av,88 St,Q,A,40.679843,-73.85147,0039A6,36081005400,0.534,36081005200,0.466,62404
27,192,Liberty Av,Rockaway Blvd,Q,A,40.680429,-73.843853,0039A6,36081004002,0.864,36081004001,0.136,82422
28,193,Liberty Av,104 St,Q,A,40.681711,-73.837683,0039A6,36081009400,0.774,36081011200,0.226,53773
29,194,Liberty Av,111 St,Q,A,40.684331,-73.832163,0039A6,36081009800,0.946,36081009600,0.054,67180
30,195,Liberty Av,Ozone Park - Lefferts Blvd,Q,A,40.685951,-73.825798,0039A6,36081010600,0.863,36081010400,0.137,65110
