sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,151,8th Av - Fulton St,145 St,M,A C B D,40.824783,-73.944216,FF6319,36061023100,0.842,36061025900,0.158,45178
2,152,8th Av - Fulton St,135 St,M,B C,40.817894,-73.947649,FF6319,36061022102,0.884,36061021500,0.116,50787
3,153,8th Av - Fulton St,125 St,M,A B C D,40.811109,-73.952343,FF6319,36061020901,0.521,36061025700,0.479,51490
4,154,8th Av - Fulton St,116 St,M,B C,40.805085,-73.954882,FF6319,36061020102,0.75,36061021800,0.25,63745
5,155,8th Av - Fulton St,Cathedral Pkwy (110 St),M,B C,40.800603,-73.958161,FF6319,36061019702,0.851,36061021600,0.149,64833
6,156,8th Av - Fulton St,103 St,M,B C,40.796092,-73.961454,FF6319,36061018900,0.676,36061019300,0.324,31283
7,157,8th Av - Fulton St,96 St,M,B C,40.791642,-73.964696,FF6319,36061018500,0.503,36061018100,0.497,105993
8,158,8th Av - Fulton St,86 St,M,B C,40.785868,-73.968916,FF6319,36061017300,0.668,36061016900,0.332,123533
9,159,8th Av - Fulton St,81 St - Museum of Natural History,M,B C,40.781433,-73.972143,FF6319,36061016500,0.642,36061016900,0.358,129760
10,160,8th Av - Fulton St,72 St,M,B C,40.775594,-73.97641,FF6319,36061015700,0.674,36061015300,0.326,144752
11,161,8th Av - Fulton St,59 St - Columbus Circle,M,A B C D,40.768296,-73.981736,FF6319,36061014500,0.564,36061013700,0.436,154659
12,277,Queens Blvd,7 Av,M,B D E,40.762862,-73.981637,FF6319,36061013100,0.904,36061013700,0.096,109324
13,225,6th Av - Culver,47-50 Sts - Rockefeller Ctr,M,B D F M,40.758663,-73.981329,FF6319,36061009600,0.64,36061012500,0.36,132075
14,226,6th Av - Culver,42 St - Bryant Pk,M,B D F M,40.754222,-73.984569,FF6319,36061008400,0.676,36061011300,0.324,125649
15,227,6th Av - Culver,34 St - Herald Sq,M,B D F M,40.749719,-73.987823,FF6319,36061007600,0.677,36061010900,0.323,112466
16,167,8th Av - Fulton St,W 4 St,M,A C E B D F M,40.732338,-74.000495,FF6319,36061006500,0.57,36061007100,0.43,121201
17,230,6th Av - Culver,Broadway-Lafayette St,M,B D F M,40.725297,-73.996204,FF6319,36061004300,0.589,36061005502,0.411,95427
18,231,6th Av - Culver,Grand St,M,B D,40.718267,-73.993753,FF6319,36061001600,0.659,36061001800,0.341,51474
19,26,Broadway - Brighton,DeKalb Av,Bk,B Q R,40.690635,-73.981824,FF6319,36047003700,0.548,36047001500,0.452,121151
20,40,Broadway - Brighton,Atlantic Av - Barclays Ctr,Bk,B Q,40.68446,-73.97689,FF6319,36047003500,0.907,36047012901,0.093,81438
21,41,Broadway - Brighton,7 Av,Bk,B Q,40.67705,-73.972367,FF6319,36047015900,0.618,36047016100,0.382,123690
22,42,Broadway - Brighton,Prospect Park,Bk,B Q,40.661614,-73.962246,FF6319,36047079801,0.501,36047032700,0.499,62035
23,43,Broadway - Brighton,Parkside Av,Bk,B Q,40.655292,-73.961495,FF6319,36047050803,0.695,36047079802,0.305,50242
24,44,Broadway - Brighton,Church Av,Bk,B Q,40.650527,-73.962982,FF6319,36047050801,0.552,36047050804,0.448,49244
25,45,Broadway - Brighton,Beverley Rd,Bk,B Q,40.644031,-73.964492,FF6319,36047152200,0.608,36047051200,0.392,74252
26,46,Broadway - Brighton,Cortelyou Rd,Bk,B Q,40.640927,-73.963891,FF6319,36047051400,0.664,36047051800,0.336,52451
27,47,Broadway - Brighton,Newkirk Plaza,Bk,B Q,40.635082,-73.962793,FF6319,36047052000,0.758,36047051800,0.242,59440
28,48,Broadway - Brighton,Avenue H,Bk,B Q,40.62927,-73.961639,FF6319,36047052800,0.775,36047053000,0.225,73615
29,49,Broadway - Brighton,Avenue J,Bk,B Q,40.625039,-73.960803,FF6319,36047053200,0.796,36047053400,0.204,57493
30,50,Broadway - Brighton,Avenue M,Bk,B Q,40.617618,-73.959399,FF6319,36047076800,0.568,36047053800,0.432,38002
31,51,Broadway - Brighton,Kings Hwy,Bk,B Q,40.60867,-73.957734,FF6319,36047055200,0.583,36047055400,0.417,50469
32,52,Broadway - Brighton,Avenue U,Bk,B Q,40.5993,-73.955929,FF6319,36047058000,0.969,36047058200,0.031,43733
33,53,Broadway - Brighton,Neck Rd,Bk,B Q,40.595246,-73.955161,FF6319,36047058600,0.935,36047058400,0.065,65326
34,54,Broadway - Brighton,Sheepshead Bay,Bk,B Q,40.586896,-73.954155,FF6319,36047060600,0.613,36047059000,0.387,49741
35,55,Broadway - Brighton,Brighton Beach,Bk,B Q,40.577621,-73.961376,FF6319,36047036002,0.771,36047036200,0.229,21111
