sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,148,8th Av - Fulton St,168 St,M,A C,40.840719,-73.939561,0039A6,36061025100,0.969,36061025300,0.031,32626
2,149,8th Av - Fulton St,163 St - Amsterdam Av,M,C,40.836013,-73.939892,0039A6,36061024301,0.781,36061024500,0.219,41493
3,150,8th Av - Fulton St,155 St,M,C,40.830518,-73.941514,0039A6,36061023501,0.573,36061023900,0.427,37829
4,151,8th Av - Fulton St,145 St,M,A C B D,40.824783,-73.944216,0039A6,36061023100,0.842,36061025900,0.158,45178
5,152,8th Av - Fulton St,135 St,M,B C,40.817894,-73.947649,0039A6,36061022102,0.884,36061021500,0.116,50787
6,153,8th Av - Fulton St,125 St,M,A B C D,40.811109,-73.952343,0039A6,36061020901,0.521,36061025700,0.479,51490
7,154,8th Av - Fulton St,116 St,M,B C,40.805085,-73.954882,0039A6,36061020102,0.75,36061021800,0.25,63745
8,155,8th Av - Fulton St,Cathedral Pkwy (110 St),M,B C,40.800603,-73.958161,0039A6,36061019702,0.851,36061021600,0.149,64833
9,156,8th Av - Fulton St,103 St,M,B C,40.796092,-73.961454,0039A6,36061018900,0.676,36061019300,0.324,31283
10,157,8th Av - Fulton St,96 St,M,B C,40.791642,-73.964696,0039A6,36061018500,0.503,36061018100,0.497,105993
11,158,8th Av - Fulton St,86 St,M,B C,40.785868,-73.968916,0039A6,36061017300,0.668,36061016900,0.332,123533
12,159,8th Av - Fulton St,81 St - Museum of Natural History,M,B C,40.781433,-73.972143,0039A6,36061016500,0.642,36061016900,0.358,129760
13,160,8th Av - Fulton St,72 St,M,B C,40.775594,-73.97641,0039A6,36061015700,0.674,36061015300,0.326,144752
14,161,8th Av - Fulton St,59 St - Columbus Circle,M,A B C D,40.768296,-73.981736,0039A6,36061014500,0.564,36061013700,0.436,154659
15,162,8th Av - Fulton St,50 St,M,C E,40.762456,-73.985984,0039A6,36061013300,0.517,36061012500,0.483,111619
16,163,8th Av - Fulton St,42 St - Port Authority Bus Terminal,M,A C E,40.757308,-73.989735,0039A6,36061012100,0.506,36061011300,0.494,89492
17,164,8th Av - Fulton St,34 St - Penn Station,M,A C E,40.752287,-73.993391,0039A6,36061011100,0.511,36061010100,0.489,126635
18,165,8th Av - Fulton St,23 St,M,C E,40.745906,-73.998041,0039A6,36061009300,0.501,36061009100,0.499,96234
19,166,8th Av - Fulton St,14 St,M,A C E,40.740893,-74.00169,0039A6,36061007700,0.555,36061008300,0.445,106817
20,167,8th Av - Fulton St,W 4 St,M,A C E B D F M,40.732338,-74.000495,0039A6,36061006500,0.57,36061007100,0.43,121201
21,168,8th Av - Fulton St,Spring St,M,C E,40.726227,-74.003739,0039A6,36061003700,0.544,36061004900,0.456,123937
22,169,8th Av - Fulton St,Canal St,M,A C E,40.720824,-74.005229,0039A6,36061003300,0.721,36061004700,0.279,174519
23,170,8th Av - Fulton St,Chambers St,M,A C,40.714111,-74.008585,0039A6,36061002100,0.938,36061003100,0.062,247067
24,172,8th Av - Fulton St,Fulton St,M,A C,40.710197,-74.007691,0039A6,36061002100,0.561,36061001300,0.439,201436
25,173,8th Av - Fulton St,High St,Bk,A C,40.699337,-73.990531,0039A6,36047001300,0.645,36047000100,0.355,103558
26,174,8th Av - Fulton St,Jay St - MetroTech,Bk,A C F,40.692338,-73.987342,0039A6,36047001100,0.947,36047003700,0.053,127223
27,175,8th Av - Fulton St,Hoyt - Schermerhorn Sts,Bk,A C G,40.688484,-73.985001,0039A6,36047003700,0.776,36047004100,0.224,132964
28,176,8th Av - Fulton St,Lafayette Av,Bk,C,40.686113,-73.973946,0039A6,36047018100,0.556,36047003500,0.444,81805
29,177,8th Av - Fulton St,Clinton - Washington Avs,Bk,C,40.683263,-73.965838,0039A6,36047019900,0.827,36047020100,0.173,84932
30,178,8th Av - Fulton St,Franklin Av,Bk,C,40.68138,-73.956848,0039A6,36047022700,0.973,36047022900,0.027,76238
31,179,8th Av - Fulton St,Nostrand Av,Bk,A C,40.680438,-73.950426,0039A6,36047024700,0.889,36047024500,0.111,47787
32,180,8th Av - Fulton St,Kingston - Throop Avs,Bk,C,40.679921,-73.940858,0039A6,36047026900,0.577,36047027300,0.423,55266
33,181,8th Av - Fulton St,Utica Av,Bk,A C,40.679364,-73.930729,0039A6,36047029700,0.739,36047030900,0.261,52616
34,182,8th Av - Fulton St,Ralph Av,Bk,C,40.678822,-73.920786,0039A6,36047037900,0.822,36047030100,0.178,38617
35,183,8th Av - Fulton St,Rockaway Av,Bk,C,40.67834,-73.911946,0039A6,36047037100,0.623,36047036501,0.377,46678
36,184,8th Av - Fulton St,Broadway Jct,Bk,A C,40.678334,-73.905316,0039A6,36047036700,0.955,36047040500,0.045,50861
37,185,8th Av - Fulton St,Liberty Av,Bk,C,40.674542,-73.896548,0039A6,36047114400,0.641,36047119800,0.359,30216
38,186,8th Av - Fulton St,Van Siclen Av,Bk,C,40.67271,-73.890358,0039A6,36047115200,0.952,36047116000,0.048,37956
39,187,8th Av - Fulton St,Shepherd Av,Bk,C,40.67413,-73.88075,0039A6,36047116600,0.842,36047116400,0.158,42217
40,188,8th Av - Fulton St,Euclid Av,Bk,A C,40.675377,-73.872106,0039A6,36047119600,0.864,36047119000,0.136,33420
