sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,210,Concourse,Norwood - 205 St,Bx,D,40.874811,-73.878855,FF6319,36005042300,0.628,36005041900,0.372,34719
2,211,Concourse,Bedford Park Blvd,Bx,D,40.873244,-73.887138,FF6319,36005041300,0.501,36005041100,0.499,41668
3,212,Concourse,Kingsbridge Rd,Bx,D,40.866978,-73.893509,FF6319,36005040302,0.663,36005040304,0.337,26332
4,213,Concourse,Fordham Rd,Bx,D,40.861296,-73.897749,FF6319,36005023702,0.907,36005023703,0.093,31591
5,214,Concourse,182-183 Sts,Bx,D,40.856093,-73.900741,FF6319,36005023704,0.843,36005038301,0.157,22481
6,215,Concourse,Tremont Av,Bx,D,40.85041,-73.905227,FF6319,36005023501,0.621,36005023302,0.379,24574
7,216,Concourse,174-175 Sts,Bx,D,40.8459,-73.910136,FF6319,36005022701,0.695,36005022703,0.305,36925
8,217,Concourse,170 St,Bx,D,40.839306,-73.9134,FF6319,36005017902,0.513,36005022300,0.487,22613
9,218,Concourse,167 St,Bx,D,40.833771,-73.91844,FF6319,36005018102,0.615,36005019700,0.385,31632
10,219,Concourse,161 St - Yankee Stadium,Bx,D,40.827905,-73.925651,FF6319,36005019500,0.511,36005006300,0.489,29420
11,220,Concourse,155 St,M,D,40.830135,-73.938209,FF6319,36061024302,0.538,36061023502,0.462,25683
12,151,8th Av - Fulton St,145 St,M,A C B D,40.824783,-73.944216,FF6319,36061023100,0.842,36061025900,0.158,45178
13,153,8th Av - Fulton St,125 St,M,A B C D,40.811109,-73.952343,FF6319,36061020901,0.521,36061025700,0.479,51490
14,161,8th Av - Fulton St,59 St - Columbus Circle,M,A B C D,40.768296,-73.981736,FF6319,36061014500,0.564,36061013700,0.436,154659
15,277,Queens Blvd,7 Av,M,B D E,40.762862,-73.981637,FF6319,36061013100,0.904,36061013700,0.096,109324
16,225,6th Av - Culver,47-50 Sts - Rockefeller Ctr,M,B D F M,40.758663,-73.981329,FF6319,36061009600,0.64,36061012500,0.36,132075
17,226,6th Av - Culver,42 St - Bryant Pk,M,B D F M,40.754222,-73.984569,FF6319,36061008400,0.676,36061011300,0.324,125649
18,227,6th Av - Culver,34 St - Herald Sq,M,B D F M,40.749719,-73.987823,FF6319,36061007600,0.677,36061010900,0.323,112466
19,167,8th Av - Fulton St,W 4 St,M,A C E B D F M,40.732338,-74.000495,FF6319,36061006500,0.57,36061007100,0.43,121201
20,230,6th Av - Culver,Broadway-Lafayette St,M,B D F M,40.725297,-73.996204,FF6319,36061004300,0.589,36061005502,0.411,95427
21,231,6th Av - Culver,Grand St,M,B D,40.718267,-73.993753,FF6319,36061001600,0.659,36061001800,0.341,51474
22,27,4th Av,Atlantic Av - Barclays Ctr,Bk,D N R,40.683666,-73.97881,FF6319,36047012901,0.65,36047003900,0.35,105691
23,32,4th Av,36 St,Bk,D N R,40.655144,-74.003549,FF6319,36047008400,0.906,36047010100,0.094,51217
24,59,West End,9 Av,Bk,D,40.646292,-73.994324,FF6319,36047011000,0.618,36047009000,0.382,49237
25,60,West End,Fort Hamilton Pkwy,Bk,D,40.640914,-73.994304,FF6319,36047011200,0.755,36047022200,0.245,31979
26,61,West End,50 St,Bk,D,40.63626,-73.994791,FF6319,36047022000,0.842,36047022200,0.158,32410
27,62,West End,55 St,Bk,D,40.631435,-73.995476,FF6319,36047021800,0.502,36047024000,0.498,31747
28,63,West End,62 St,Bk,D,40.626472,-73.996895,FF6319,36047019200,0.568,36047024200,0.432,50146
29,64,West End,71 St,Bk,D,40.619589,-73.998864,FF6319,36047026200,0.505,36047019000,0.495,46159
30,65,West End,79 St,Bk,D,40.613501,-74.00061,FF6319,36047018200,0.54,36047027600,0.46,57265
31,66,West End,18 Av,Bk,D,40.607954,-74.001736,FF6319,36047027800,0.862,36047017800,0.138,57175
32,67,West End,20 Av,Bk,D,40.604556,-73.998168,FF6319,36047028400,0.593,36047028800,0.407,48566
33,68,West End,Bay Pkwy,Bk,D,40.601875,-73.993728,FF6319,36047029600,0.602,36047029000,0.398,51761
34,69,West End,25 Av,Bk,D,40.597704,-73.986829,FF6319,36047030000,0.824,36047029800,0.176,51185
35,70,West End,Bay 50 St,Bk,D,40.588841,-73.983765,FF6319,36047038200,0.533,36047030600,0.467,31840
36,58,Sea Beach / West End / Culver / Brighton,Coney Island - Stillwell Av,Bk,D F N Q,40.577422,-73.981233,FF6319,36047035000,0.584,36047034800,0.416,46157
