sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,278,Queens - Archer,Jamaica Center - Parsons/Archer,Q,E J Z,40.702147,-73.801109,0039A6,36081024000,0.529,36081044601,0.471,42603
2,279,Queens - Archer,Sutphin Blvd - Archer Av - JFK Airport,Q,E J Z,40.700486,-73.807969,0039A6,36081020800,0.722,36081021200,0.278,62761
3,280,Queens - Archer,Jamaica - Van Wyck,Q,E,40.702566,-73.816859,0039A6,36081021400,0.519,36081014202,0.481,65149
4,258,Queens Blvd,Briarwood - Van Wyck Blvd,Q,E F,40.709179,-73.820574,0039A6,36081021600,0.549,36081022001,0.451,68507
5,259,Queens Blvd,Kew Gardens - Union Tpke,Q,E F,40.714441,-73.831008,0039A6,36081076902,0.73,36081077300,0.27,76672
6,260,Queens Blvd,75 Av,Q,E F,40.718331,-73.837324,0039A6,36081076901,0.547,36081075701,0.453,82124
7,261,Queens Blvd,Forest Hills - 71 Av,Q,E F M R,40.721691,-73.844521,0039A6,36081073900,0.775,36081073700,0.225,79987
8,267,Queens Blvd,Jackson Hts - Roosevelt Av,Q,E F M R,40.746644,-73.891338,0039A6,36081026500,0.758,36081028900,0.242,57631
9,273,Queens Blvd,Queens Plaza,Q,E M R,40.748973,-73.937243,0039A6,36081001900,0.517,36081003100,0.483,94869
10,274,Queens Blvd,Court Sq,Q,E M,40.747846,-73.946,0039A6,36081001900,0.796,36081000700,0.204,129439
11,275,Queens Blvd,Lexington Av/53 St,M,E M,40.757552,-73.969055,0039A6,36061009800,0.513,36061010000,0.487,120954
12,276,Queens Blvd,5 Av/53 St,M,E M,40.760167,-73.975224,0039A6,36061010200,0.847,36061010400,0.153,160264
13,277,Queens Blvd,7 Av,M,B D E,40.762862,-73.981637,0039A6,36061013100,0.904,36061013700,0.096,109324
14,162,8th Av - Fulton St,50 St,M,C E,40.762456,-73.985984,0039A6,36061013300,0.517,36061012500,0.483,111619
15,163,8th Av - Fulton St,42 St - Port Authority Bus Terminal,M,A C E,40.757308,-73.989735,0039A6,36061012100,0.506,36061011300,0.494,89492
16,164,8th Av - Fulton St,34 St - Penn Station,M,A C E,40.752287,-73.993391,0039A6,36061011100,0.511,36061010100,0.489,126635
17,165,8th Av - Fulton St,23 St,M,C E,40.745906,-73.998041,0039A6,36061009300,0.501,36061009100,0.499,96234
18,166,8th Av - Fulton St,14 St,M,A C E,40.740893,-74.00169,0039A6,36061007700,0.555,36061008300,0.445,106817
19,167,8th Av - Fulton St,W 4 St,M,A C E B D F M,40.732338,-74.000495,0039A6,36061006500,0.57,36061007100,0.43,121201
20,168,8th Av - Fulton St,Spring St,M,C E,40.726227,-74.003739,0039A6,36061003700,0.544,36061004900,0.456,123937
21,169,8th Av - Fulton St,Canal St,M,A C E,40.720824,-74.005229,0039A6,36061003300,0.721,36061004700,0.279,174519
22,171,8th Av - Fulton St,World Trade Center,M,E,40.712582,-74.009781,0039A6,36061002100,0.878,36061001300,0.122,236441
