sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,254,Queens Blvd,Jamaica - 179 St,Q,F,40.712646,-73.783817,FF6319,36081046600,0.729,36081046800,0.271,51993
2,255,Queens Blvd,169 St,Q,F,40.71047,-73.793604,FF6319,36081046000,0.704,36081045400,0.296,39090
3,256,Queens Blvd,Parsons Blvd,Q,F,40.707564,-73.803326,FF6319,36081023600,0.838,36081044800,0.162,57961
4,257,Queens Blvd,Sutphin Blvd,Q,F,40.70546,-73.810708,FF6319,36081023800,0.841,36081023200,0.159,49853
5,258,Queens Blvd,Briarwood - Van Wyck Blvd,Q,E F,40.709179,-73.820574,FF6319,36081021600,0.549,36081022001,0.451,68507
6,259,Queens Blvd,Kew Gardens - Union Tpke,Q,E F,40.714441,-73.831008,FF6319,36081076902,0.73,36081077300,0.27,76672
7,260,Queens Blvd,75 Av,Q,E F,40.718331,-73.837324,FF6319,36081076901,0.547,36081075701,0.453,82124
8,261,Queens Blvd,Forest Hills - 71 Av,Q,E F M R,40.721691,-73.844521,FF6319,36081073900,0.775,36081073700,0.225,79987
9,267,Queens Blvd,Jackson Hts - Roosevelt Av,Q,E F M R,40.746644,-73.891338,FF6319,36081026500,0.758,36081028900,0.242,57631
10,221,63rd St,21 St - Queensbridge,Q,F,40.754203,-73.942836,FF6319,36081002500,0.715,36081003300,0.285,30848
11,222,63rd St,Roosevelt Island,M,F,40.759145,-73.95326,FF6319,36061023801,0.813,36061011600,0.187,87846
12,223,63rd St,Lexington Av/63 St,M,F Q,40.764629,-73.966113,FF6319,36061011402,0.728,36061012000,0.272,164045
13,224,6th Av - Culver,57 St,M,F,40.763972,-73.97745,FF6319,36061011201,0.681,36061013700,0.319,139910
14,225,6th Av - Culver,47-50 Sts - Rockefeller Ctr,M,B D F M,40.758663,-73.981329,FF6319,36061009600,0.64,36061012500,0.36,132075
15,226,6th Av - Culver,42 St - Bryant Pk,M,B D F M,40.754222,-73.984569,FF6319,36061008400,0.676,36061011300,0.324,125649
