sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,281,Crosstown,Court Sq,Q,G,40.746554,-73.943832,6CBE45,36081001900,0.939,36081000700,0.061,130475
2,282,Crosstown,21 St,Q,G,40.744065,-73.949724,6CBE45,36081000700,0.904,36081000100,0.096,124954
3,283,Crosstown,Greenpoint Av,Bk,G,40.731352,-73.954449,6CBE45,36047057500,0.861,36047056500,0.139,76047
4,284,Crosstown,Nassau Av,Bk,G,40.724635,-73.951277,6CBE45,36047056900,0.786,36047057100,0.214,76531
5,285,Crosstown,Metropolitan Av,Bk,G,40.712792,-73.951418,6CBE45,36047051300,0.856,36047050300,0.144,82894
6,286,Crosstown,Broadway,Bk,G,40.706092,-73.950308,6CBE45,36047051100,0.613,36047050900,0.387,35888
7,287,Crosstown,Flushing Av,Bk,G,40.700377,-73.950234,6CBE45,36047050900,0.547,36047025700,0.453,48301
8,288,Crosstown,Myrtle - Willoughby Avs,Bk,G,40.694568,-73.949046,6CBE45,36047025300,0.597,36047025901,0.403,51698
9,289,Crosstown,Bedford - Nostrand Avs,Bk,G,40.689627,-73.953522,6CBE45,36047024300,0.616,36047024100,0.384,57488
10,290,Crosstown,Classon Av,Bk,G,40.688873,-73.96007,6CBE45,36047023300,0.627,36047019300,0.373,42901
11,291,Crosstown,Clinton - Washington Avs,Bk,G,40.688089,-73.966839,6CBE45,36047019700,0.959,36047019500,0.041,90015
12,292,Crosstown,Fulton St,Bk,G,40.687119,-73.975375,6CBE45,36047003500,0.54,36047003300,0.46,97240
13,175,8th Av - Fulton St,Hoyt - Schermerhorn Sts,Bk,A C G,40.688484,-73.985001,6CBE45,36047003700,0.776,36047004100,0.224,132964
14,236,6th Av - Culver,Bergen St,Bk,F G,40.686145,-73.990862,6CBE45,36047006900,0.804,36047004300,0.196,130125
15,237,6th Av - Culver,Carroll St,Bk,F G,40.680303,-73.995048,6CBE45,36047007500,0.594,36047007700,0.406,146891
16,238,6th Av - Culver,Smith - 9 Sts,Bk,F G,40.67358,-73.995959,6CBE45,36047007700,0.745,36047012100,0.255,127236
17,239,6th Av - Culver,4 Av,Bk,F G,40.670272,-73.989779,6CBE45,36047012100,0.785,36047013900,0.215,105833
18,240,6th Av - Culver,7 Av,Bk,F G,40.666271,-73.980305,6CBE45,36047015300,0.619,36047015100,0.381,134082
19,241,6th Av - Culver,15 St - Prospect Park,Bk,F G,40.660365,-73.979493,6CBE45,36047016900,0.798,36047016700,0.202,94584
20,242,6th Av - Culver,Fort Hamilton Pkwy,Bk,F G,40.650782,-73.975776,6CBE45,36047050202,0.562,36047050400,0.438,91315
21,243,6th Av - Culver,Church Av,Bk,F G,40.644041,-73.979678,6CBE45,36047049600,0.727,36047049800,0.273,74640
