sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,115,Canarsie,8 Av,M,L,40.739777,-74.002578,A7A9AC,36061007700,0.82,36061008300,0.18,124595
2,116,Canarsie,6 Av,M,L,40.737335,-73.996786,A7A9AC,36061006300,0.539,36061008100,0.461,130416
3,117,Canarsie,Union Sq - 14 St,M,L,40.734789,-73.99073,A7A9AC,36061006100,0.636,36061005200,0.364,157365
4,118,Canarsie,3 Av,M,L,40.732849,-73.986122,A7A9AC,36061004000,0.675,36061004800,0.325,97949
5,119,Canarsie,1 Av,M,L,40.730953,-73.981628,A7A9AC,36061003400,0.775,36061004800,0.225,84226
6,120,Canarsie,Bedford Av,Bk,L,40.717304,-73.956872,A7A9AC,36047055300,0.578,36047051900,0.422,109241
7,121,Canarsie,Lorimer St,Bk,L,40.714063,-73.950275,A7A9AC,36047050100,0.601,36047051300,0.399,90570
8,122,Canarsie,Graham Av,Bk,L,40.714565,-73.944053,A7A9AC,36047049700,0.598,36047049500,0.402,86101
9,123,Canarsie,Grand St,Bk,L,40.711926,-73.94067,A7A9AC,36047049500,0.544,36047048100,0.456,82645
10,124,Canarsie,Montrose Av,Bk,L,40.707739,-73.93985,A7A9AC,36047049300,0.929,36047048500,0.071,37404
11,125,Canarsie,Morgan Av,Bk,L,40.706152,-73.933147,A7A9AC,36047048500,0.584,36047045300,0.416,79931
12,126,Canarsie,Jefferson St,Bk,L,40.706607,-73.922913,A7A9AC,36047044700,0.997,36047044500,0.003,50020
13,127,Canarsie,DeKalb Av,Bk,L,40.703811,-73.918425,A7A9AC,36047044500,0.555,36047044300,0.445,54460
14,128,Canarsie,Myrtle - Wyckoff Avs,Bk,L,40.699814,-73.911586,A7A9AC,36047043900,0.548,36047044100,0.452,52973
15,129,Canarsie,Halsey St,Q,L,40.695602,-73.904084,A7A9AC,36081055500,0.753,36081055900,0.247,60931
16,130,Canarsie,Wilson Av,Bk,L,40.688764,-73.904046,A7A9AC,36047040900,0.559,36047041100,0.441,42464
17,131,Canarsie,Bushwick Av - Aberdeen St,Bk,L,40.682829,-73.905249,A7A9AC,36047040500,0.884,36047040300,0.116,58100
18,132,Canarsie,Broadway Jct,Bk,L,40.678856,-73.90324,A7A9AC,36047036700,0.77,36047040500,0.23,52817
19,133,Canarsie,Atlantic Av,Bk,L,40.675345,-73.903097,A7A9AC,36047036700,0.638,36047090800,0.362,36051
20,134,Canarsie,Sutter Av,Bk,L,40.669367,-73.901975,A7A9AC,36047113400,0.661,36047090800,0.339,16332
21,135,Canarsie,Livonia Av,Bk,L,40.664038,-73.900571,A7A9AC,36047113200,0.617,36047091000,0.383,41315
22,136,Canarsie,New Lots Av,Bk,L,40.658733,-73.899232,A7A9AC,36047113200,0.628,36047092000,0.372,43889
23,137,Canarsie,E 105 St,Bk,L,40.650573,-73.899485,A7A9AC,36047109800,0.532,36047097400,0.468,53938
24,138,Canarsie,Canarsie - Rockaway Pkwy,Bk,L,40.646654,-73.90185,A7A9AC,36047097400,0.745,36047096800,0.255,63001
