sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,1,Astoria,Astoria - Ditmars Blvd,Q,N W,40.775036,-73.912034,FCCC0A,36081011500,0.853,36081011700,0.147,72524
2,2,Astoria,Astoria Blvd,Q,N W,40.770258,-73.917843,FCCC0A,36081012500,0.733,36081006501,0.267,73334
3,3,Astoria,30 Av,Q,N W,40.766779,-73.921479,FCCC0A,36081006300,0.575,36081007100,0.425,72280
4,4,Astoria,Broadway,Q,N W,40.76182,-73.925508,FCCC0A,36081005900,0.611,36081007500,0.389,80786
5,5,Astoria,36 Av,Q,N W,40.756804,-73.929575,FCCC0A,36081005100,0.532,36081005500,0.468,53582
6,6,Astoria,39 Av,Q,N W,40.752882,-73.932755,FCCC0A,36081003100,0.749,36081005100,0.251,54125
7,461,Astoria,Queensboro Plaza,Q,N W 7,40.750582,-73.940202,FCCC0A,36081001900,0.611,36081003300,0.389,104463
8,7,Astoria,Lexington Av/59 St,M,N W R,40.76266,-73.967258,FCCC0A,36061011402,0.875,36061011203,0.125,151446
9,8,Astoria,5 Av/59 St,M,N W R,40.764811,-73.973347,FCCC0A,36061011201,0.575,36061011202,0.425,147673
10,9,Broadway - Brighton,57 St - 7 Av,M,N Q R W,40.764664,-73.980658,FCCC0A,36061013700,0.949,36061013100,0.051,146519
11,10,Broadway - Brighton,49 St,M,N R W,40.759901,-73.984139,FCCC0A,36061012500,1.0,36061013100,0.0,141857
12,11,Broadway - Brighton,Times Sq - 42 St,M,N Q R W,40.754672,-73.986754,FCCC0A,36061011300,0.855,36061011900,0.145,96467
13,12,Broadway - Brighton,34 St - Herald Sq,M,N Q R W,40.749567,-73.98795,FCCC0A,36061007600,0.706,36061010900,0.294,110430
14,15,Broadway - Brighton,14 St - Union Sq,M,N Q R W,40.735736,-73.990568,FCCC0A,36061005200,0.706,36061006100,0.294,158685
15,19,Manhattan Bridge,Canal St,M,N Q,40.718383,-74.00046,FCCC0A,36061004500,0.746,36061004100,0.254,126972
16,27,4th Av,Atlantic Av - Barclays Ctr,Bk,D N R,40.683666,-73.97881,FCCC0A,36047012901,0.65,36047003900,0.35,105691
17,32,4th Av,36 St,Bk,D N R,40.655144,-74.003549,FCCC0A,36047008400,0.906,36047010100,0.094,51217
18,35,4th Av,59 St,Bk,N R,40.641362,-74.017881,FCCC0A,36047007400,0.903,36047007200,0.097,34986
19,71,Sea Beach,8 Av,Bk,N,40.635064,-74.011719,FCCC0A,36047011800,0.998,36047012000,0.002,31599
20,72,Sea Beach,Fort Hamilton Pkwy,Bk,N,40.631386,-74.005351,FCCC0A,36047021200,0.609,36047021400,0.391,45905
21,73,Sea Beach,New Utrecht Av,Bk,N,40.624842,-73.996353,FCCC0A,36047025000,0.809,36047024200,0.191,54524
22,74,Sea Beach,18 Av,Bk,N,40.620671,-73.990414,FCCC0A,36047024800,0.895,36047025200,0.105,50380
23,75,Sea Beach,20 Av,Bk,N,40.61741,-73.985026,FCCC0A,36047025400,0.774,36047025600,0.226,47083
24,76,Sea Beach,Bay Pkwy,Bk,N,40.611815,-73.981848,FCCC0A,36047043200,0.872,36047043000,0.128,48391
25,77,Sea Beach,Kings Hwy,Bk,N,40.603923,-73.980353,FCCC0A,36047042600,0.707,36047042800,0.293,49351
26,78,Sea Beach,Avenue U,Bk,N,40.597473,-73.979137,FCCC0A,36047040000,0.583,36047040800,0.417,60837
27,79,Sea Beach,86 St,Bk,N,40.592721,-73.97823,FCCC0A,36047038200,0.522,36047039800,0.478,34878
28,58,Sea Beach / West End / Culver / Brighton,Coney Island - Stillwell Av,Bk,D F N Q,40.577422,-73.981233,FCCC0A,36047035000,0.584,36047034800,0.416,46157
