sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,475,Second Av,96 St,M,Q,40.784318,-73.947152,FCCC0A,36061015601,0.67,36061015602,0.33,78308
2,476,Second Av,86 St,M,Q,40.777891,-73.951787,FCCC0A,36061014601,0.706,36061014602,0.294,106962
3,477,Second Av,72 St,M,Q,40.768799,-73.958424,FCCC0A,36061012600,0.992,36061012800,0.008,134119
4,223,63rd St,Lexington Av/63 St,M,F Q,40.764629,-73.966113,FCCC0A,36061011402,0.728,36061012000,0.272,164045
5,9,Broadway - Brighton,57 St - 7 Av,M,N Q R W,40.764664,-73.980658,FCCC0A,36061013700,0.949,36061013100,0.051,146519
6,11,Broadway - Brighton,Times Sq - 42 St,M,N Q R W,40.754672,-73.986754,FCCC0A,36061011300,0.855,36061011900,0.145,96467
7,12,Broadway - Brighton,34 St - Herald Sq,M,N Q R W,40.749567,-73.98795,FCCC0A,36061007600,0.706,36061010900,0.294,110430
8,15,Broadway - Brighton,14 St - Union Sq,M,N Q R W,40.735736,-73.990568,FCCC0A,36061005200,0.706,36061006100,0.294,158685
9,19,Manhattan Bridge,Canal St,M,N Q,40.718383,-74.00046,FCCC0A,36061004500,0.746,36061004100,0.254,126972
10,26,Broadway - Brighton,DeKalb Av,Bk,B Q R,40.690635,-73.981824,FCCC0A,36047003700,0.548,36047001500,0.452,121151
11,40,Broadway - Brighton,Atlantic Av - Barclays Ctr,Bk,B Q,40.68446,-73.97689,FCCC0A,36047003500,0.907,36047012901,0.093,81438
12,41,Broadway - Brighton,7 Av,Bk,B Q,40.67705,-73.972367,FCCC0A,36047015900,0.618,36047016100,0.382,123690
13,42,Broadway - Brighton,Prospect Park,Bk,B Q,40.661614,-73.962246,FCCC0A,36047079801,0.501,36047032700,0.499,62035
14,43,Broadway - Brighton,Parkside Av,Bk,B Q,40.655292,-73.961495,FCCC0A,36047050803,0.695,36047079802,0.305,50242
15,44,Broadway - Brighton,Church Av,Bk,B Q,40.650527,-73.962982,FCCC0A,36047050801,0.552,36047050804,0.448,49244
16,45,Broadway - Brighton,Beverley Rd,Bk,B Q,40.644031,-73.964492,FCCC0A,36047152200,0.608,36047051200,0.392,74252
17,46,Broadway - Brighton,Cortelyou Rd,Bk,B Q,40.640927,-73.963891,FCCC0A,36047051400,0.664,36047051800,0.336,52451
18,47,Broadway - Brighton,Newkirk Plaza,Bk,B Q,40.635082,-73.962793,FCCC0A,36047052000,0.758,36047051800,0.242,59440
19,48,Broadway - Brighton,Avenue H,Bk,B Q,40.62927,-73.961639,FCCC0A,36047052800,0.775,36047053000,0.225,73615
20,49,Broadway - Brighton,Avenue J,Bk,B Q,40.625039,-73.960803,FCCC0A,36047053200,0.796,36047053400,0.204,57493
21,50,Broadway - Brighton,Avenue M,Bk,B Q,40.617618,-73.959399,FCCC0A,36047076800,0.568,36047053800,0.432,38002
22,51,Broadway - Brighton,Kings Hwy,Bk,B Q,40.60867,-73.957734,FCCC0A,36047055200,0.583,36047055400,0.417,50469
23,52,Broadway - Brighton,Avenue U,Bk,B Q,40.5993,-73.955929,FCCC0A,36047058000,0.969,36047058200,0.031,43733
24,53,Broadway - Brighton,Neck Rd,Bk,B Q,40.595246,-73.955161,FCCC0A,36047058600,0.935,36047058400,0.065,65326
25,54,Broadway - Brighton,Sheepshead Bay,Bk,B Q,40.586896,-73.954155,FCCC0A,36047060600,0.613,36047059000,0.387,49741
26,55,Broadway - Brighton,Brighton Beach,Bk,B Q,40.577621,-73.961376,FCCC0A,36047036002,0.771,36047036200,0.229,21111
27,56,Broadway - Brighton,Ocean Pkwy,Bk,Q,40.576312,-73.968501,FCCC0A,36047035602,0.536,36047036001,0.464,29713
28,57,Broadway - Brighton,W 8 St - NY Aquarium,Bk,F Q,40.576127,-73.975939,FCCC0A,36047035000,0.539,36047035400,0.461,41485
29,58,Sea Beach / West End / Culver / Brighton,Coney Island - Stillwell Av,Bk,D F N Q,40.577422,-73.981233,FCCC0A,36047035000,0.584,36047034800,0.416,46157
