sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,261,Queens Blvd,Forest Hills - 71 Av,Q,E F M R,40.721691,-73.844521,FCCC0A,36081073900,0.775,36081073700,0.225,79987
2,262,Queens Blvd,67 Av,Q,M R,40.726523,-73.852719,FCCC0A,36081071305,0.65,36081071304,0.35,65628
3,263,Queens Blvd,63 Dr - Rego Park,Q,M R,40.729846,-73.861604,FCCC0A,36081071701,0.506,36081069300,0.494,57449
4,264,Queens Blvd,Woodhaven Blvd,Q,M R,40.733106,-73.869229,FCCC0A,36081068300,0.721,36081068700,0.279,54318
5,265,Queens Blvd,Grand Av - Newtown,Q,M R,40.737015,-73.877223,FCCC0A,36081047300,0.891,36081047500,0.109,54477
6,266,Queens Blvd,Elmhurst Av,Q,M R,40.742454,-73.882017,FCCC0A,36081026902,0.548,36081048100,0.452,41726
7,267,Queens Blvd,Jackson Hts - Roosevelt Av,Q,E F M R,40.746644,-73.891338,FCCC0A,36081026500,0.758,36081028900,0.242,57631
8,268,Queens Blvd,65 St,Q,M R,40.749669,-73.898453,FCCC0A,36081029300,0.778,36081026100,0.222,57582
9,269,Queens Blvd,Northern Blvd,Q,M R,40.752885,-73.906006,FCCC0A,36081025700,0.537,36081025500,0.463,66014
10,270,Queens Blvd,46 St,Q,M R,40.756312,-73.913333,FCCC0A,36081016100,0.551,36081015300,0.449,55833
11,271,Queens Blvd,Steinway St,Q,M R,40.756879,-73.92074,FCCC0A,36081015700,0.821,36081015900,0.179,54185
12,272,Queens Blvd,36 St,Q,M R,40.752039,-73.928781,FCCC0A,36081005500,0.816,36081005100,0.184,57896
13,273,Queens Blvd,Queens Plaza,Q,E M R,40.748973,-73.937243,FCCC0A,36081001900,0.517,36081003100,0.483,94869
14,7,Astoria,Lexington Av/59 St,M,N W R,40.76266,-73.967258,FCCC0A,36061011402,0.875,36061011203,0.125,151446
15,8,Astoria,5 Av/59 St,M,N W R,40.764811,-73.973347,FCCC0A,36061011201,0.575,36061011202,0.425,147673
16,9,Broadway - Brighton,57 St - 7 Av,M,N Q R W,40.764664,-73.980658,FCCC0A,36061013700,0.949,36061013100,0.051,146519
17,10,Broadway - Brighton,49 St,M,N R W,40.759901,-73.984139,FCCC0A,36061012500,1.0,36061013100,0.0,141857
18,11,Broadway - Brighton,Times Sq - 42 St,M,N Q R W,40.754672,-73.986754,FCCC0A,36061011300,0.855,36061011900,0.145,96467
19,12,Broadway - Brighton,34 St - Herald Sq,M,N Q R W,40.749567,-73.98795,FCCC0A,36061007600,0.706,36061010900,0.294,110430
20,13,Broadway - Brighton,28 St,M,R W,40.745494,-73.988691,FCCC0A,36061007600,0.569,36061005800,0.431,130246
21,14,Broadway - Brighton,23 St,M,R W,40.741303,-73.989344,FCCC0A,36061005600,0.537,36061005800,0.463,151972
22,15,Broadway - Brighton,14 St - Union Sq,M,N Q R W,40.735736,-73.990568,FCCC0A,36061005200,0.706,36061006100,0.294,158685
23,16,Broadway - Brighton,8 St - NYU,M,R W,40.730328,-73.992629,FCCC0A,36061005700,0.831,36061005900,0.169,151537
24,17,Broadway - Brighton,Prince St,M,R W,40.724329,-73.997702,FCCC0A,36061004300,0.544,36061004900,0.456,83315
25,18,Broadway,Canal St,M,R W,40.719527,-74.001775,FCCC0A,36061004500,0.635,36061004700,0.365,136128
26,20,Broadway,City Hall,M,R W,40.713282,-74.006978,FCCC0A,36061002100,0.633,36061003100,0.367,232543
27,21,Broadway,Cortlandt St,M,R W,40.710668,-74.011029,FCCC0A,36061001300,0.71,36061002100,0.29,171364
28,22,Broadway,Rector St,M,R W,40.70722,-74.013342,FCCC0A,36061001300,0.81,36061031704,0.19,143613
29,23,Broadway,Whitehall St,M,R W,40.703087,-74.012994,FCCC0A,36061001300,0.551,36061031704,0.449,149494
30,24,Broadway,Court St,Bk,R,40.6941,-73.991777,FCCC0A,36047000502,0.748,36047000900,0.252,120415
31,25,Broadway,Jay St - MetroTech,Bk,R,40.69218,-73.985942,FCCC0A,36047001100,0.636,36047003700,0.364,130169
32,26,Broadway - Brighton,DeKalb Av,Bk,B Q R,40.690635,-73.981824,FCCC0A,36047003700,0.548,36047001500,0.452,121151
33,27,4th Av,Atlantic Av - Barclays Ctr,Bk,D N R,40.683666,-73.97881,FCCC0A,36047012901,0.65,36047003900,0.35,105691
34,28,4th Av,Union St,Bk,R,40.677316,-73.98311,FCCC0A,36047013300,0.584,36047013100,0.416,145516
35,29,4th Av,9 St,Bk,R,40.670847,-73.988302,FCCC0A,36047012100,0.533,36047013700,0.467,105189
36,30,4th Av,Prospect Av,Bk,R,40.665414,-73.992872,FCCC0A,36047014300,0.775,36047011700,0.225,99956
37,31,4th Av,25 St,Bk,R,40.660397,-73.998091,FCCC0A,36047010100,0.572,36047014500,0.428,68253
38,32,4th Av,36 St,Bk,D N R,40.655144,-74.003549,FCCC0A,36047008400,0.906,36047010100,0.094,51217
39,33,4th Av,45 St,Bk,R,40.648939,-74.010006,FCCC0A,36047008000,0.986,36047008200,0.014,59169
40,34,4th Av,53 St,Bk,R,40.645069,-74.014034,FCCC0A,36047007600,0.763,36047007800,0.237,40263
41,35,4th Av,59 St,Bk,N R,40.641362,-74.017881,FCCC0A,36047007400,0.903,36047007200,0.097,34986
42,36,4th Av,Bay Ridge Av,Bk,R,40.634967,-74.023377,FCCC0A,36047006800,0.53,36047013000,0.47,53206
43,37,4th Av,77 St,Bk,R,40.629742,-74.02551,FCCC0A,36047006600,0.538,36047013600,0.462,65594
44,38,4th Av,86 St,Bk,R,40.622687,-74.028398,FCCC0A,36047006200,0.592,36047006000,0.408,73150
45,39,4th Av,Bay Ridge - 95 St,Bk,R,40.616622,-74.030876,FCCC0A,36047005800,0.634,36047016200,0.366,57479
