sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,501,Staten Island,St George,SI,SIR,40.643748,-74.073643,0F2B51,36085000300,0.898,36085000700,0.102,69111
2,502,Staten Island,Tompkinsville,SI,SIR,40.636949,-74.074835,0F2B51,36085000300,0.666,36085002100,0.334,66266
3,503,Staten Island,Stapleton,SI,SIR,40.627915,-74.075162,0F2B51,36085002100,0.677,36085002700,0.323,44999
4,504,Staten Island,Clifton,SI,SIR,40.621319,-74.071402,0F2B51,36085002700,0.668,36085000600,0.332,28211
5,505,Staten Island,Grasmere,SI,SIR,40.603117,-74.084087,0F2B51,36085005000,0.977,36085006400,0.023,66985
6,506,Staten Island,Old Town,SI,SIR,40.596612,-74.087368,0F2B51,36085009601,0.891,36085005000,0.109,66974
7,507,Staten Island,Dongan Hills,SI,SIR,40.588849,-74.09609,0F2B51,36085009602,0.789,36085011401,0.211,71930
8,508,Staten Island,Jefferson Av,SI,SIR,40.583591,-74.103338,0F2B51,36085011402,0.696,36085011401,0.304,65308
9,509,Staten Island,Grant City,SI,SIR,40.578965,-74.109704,0F2B51,36085012200,0.643,36085011402,0.357,90351
10,510,Staten Island,New Dorp,SI,SIR,40.57348,-74.11721,0F2B51,36085013400,0.729,36085012200,0.271,86545
11,511,Staten Island,Oakwood Heights,SI,SIR,40.56511,-74.12632,0F2B51,36085013201,0.772,36085013204,0.228,100268
12,512,Staten Island,Bay Terrace,SI,SIR,40.5564,-74.136907,0F2B51,36085014606,0.55,36085013204,0.45,94147
13,513,Staten Island,Great Kills,SI,SIR,40.551231,-74.151399,0F2B51,36085013203,0.531,36085014605,0.469,93204
14,514,Staten Island,Eltingville,SI,SIR,40.544601,-74.16457,0F2B51,36085017011,0.509,36085014604,0.491,82659
15,515,Staten Island,Annadale,SI,SIR,40.54046,-74.178217,0F2B51,36085017005,0.971,36085017011,0.029,101081
16,516,Staten Island,Huguenot,SI,SIR,40.533674,-74.191794,0F2B51,36085020804,0.624,36085017009,0.376,98273
17,517,Staten Island,Prince's Bay,SI,SIR,40.525507,-74.200064,0F2B51,36085020804,0.56,36085019800,0.44,99610
18,518,Staten Island,Pleasant Plains,SI,SIR,40.52241,-74.217847,0F2B51,36085019800,0.529,36085020803,0.471,109050
19,519,Staten Island,Richmond Valley,SI,SIR,40.519631,-74.229141,0F2B51,36085024401,0.561,36085024800,0.439,79194
20,522,Staten Island,Tottenville,SI,SIR,40.512764,-74.251961,0F2B51,36085024800,0.637,36085024402,0.363,83756
21,523,Staten Island,Arthur Kill,SI,SIR,40.516578,-74.242096,0F2B51,36085024800,0.953,36085024401,0.047,79550
