sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,1,Astoria,Astoria - Ditmars Blvd,Q,N W,40.775036,-73.912034,FCCC0A,36081011500,0.853,36081011700,0.147,72524
2,2,Astoria,Astoria Blvd,Q,N W,40.770258,-73.917843,FCCC0A,36081012500,0.733,36081006501,0.267,73334
3,3,Astoria,30 Av,Q,N W,40.766779,-73.921479,FCCC0A,36081006300,0.575,36081007100,0.425,72280
4,4,Astoria,Broadway,Q,N W,40.76182,-73.925508,FCCC0A,36081005900,0.611,36081007500,0.389,80786
5,5,Astoria,36 Av,Q,N W,40.756804,-73.929575,FCCC0A,36081005100,0.532,36081005500,0.468,53582
6,6,Astoria,39 Av,Q,N W,40.752882,-73.932755,FCCC0A,36081003100,0.749,36081005100,0.251,54125
7,461,Astoria,Queensboro Plaza,Q,N W 7,40.750582,-73.940202,FCCC0A,36081001900,0.611,36081003300,0.389,104463
8,7,Astoria,Lexington Av/59 St,M,N W R,40.76266,-73.967258,FCCC0A,36061011402,0.875,36061011203,0.125,151446
9,8,Astoria,5 Av/59 St,M,N W R,40.764811,-73.973347,FCCC0A,36061011201,0.575,36061011202,0.425,147673
10,9,Broadway - Brighton,57 St - 7 Av,M,N Q R W,40.764664,-73.980658,FCCC0A,36061013700,0.949,36061013100,0.051,146519
11,10,Broadway - Brighton,49 St,M,N R W,40.759901,-73.984139,FCCC0A,36061012500,1.0,36061013100,0.0,141857
12,11,Broadway - Brighton,Times Sq - 42 St,M,N Q R W,40.754672,-73.986754,FCCC0A,36061011300,0.855,36061011900,0.145,96467
13,12,Broadway - Brighton,34 St - Herald Sq,M,N Q R W,40.749567,-73.98795,FCCC0A,36061007600,0.706,36061010900,0.294,110430
14,13,Broadway - Brighton,28 St,M,R W,40.745494,-73.988691,FCCC0A,36061007600,0.569,36061005800,0.431,130246
15,14,Broadway - Brighton,23 St,M,R W,40.741303,-73.989344,FCCC0A,36061005600,0.537,36061005800,0.463,151972
16,15,Broadway - Brighton,14 St - Union Sq,M,N Q R W,40.735736,-73.990568,FCCC0A,36061005200,0.706,36061006100,0.294,158685
17,16,Broadway - Brighton,8 St - NYU,M,R W,40.730328,-73.992629,FCCC0A,36061005700,0.831,36061005900,0.169,151537
18,17,Broadway - Brighton,Prince St,M,R W,40.724329,-73.997702,FCCC0A,36061004300,0.544,36061004900,0.456,83315
19,18,Broadway,Canal St,M,R W,40.719527,-74.001775,FCCC0A,36061004500,0.635,36061004700,0.365,136128
20,20,Broadway,City Hall,M,R W,40.713282,-74.006978,FCCC0A,36061002100,0.633,36061003100,0.367,232543
21,21,Broadway,Cortlandt St,M,R W,40.710668,-74.011029,FCCC0A,36061001300,0.71,36061002100,0.29,171364
22,22,Broadway,Rector St,M,R W,40.70722,-74.013342,FCCC0A,36061001300,0.81,36061031704,0.19,143613
23,23,Broadway,Whitehall St,M,R W,40.703087,-74.012994,FCCC0A,36061001300,0.551,36061031704,0.449,149494
