sortBy,Station ID,Line,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,color,tractId1,tractWeight1,tractId2,tractWeight2,income
1,278,Queens - Archer,Jamaica Center - Parsons/Archer,Q,E J Z,40.702147,-73.801109,996633,36081024000,0.529,36081044601,0.471,42603
2,279,Queens - Archer,Sutphin Blvd - Archer Av - JFK Airport,Q,E J Z,40.700486,-73.807969,996633,36081020800,0.722,36081021200,0.278,62761
3,80,Jamaica,121 St,Q,J Z,40.700492,-73.828294,996633,36081014400,0.642,36081014000,0.358,55672
4,82,Jamaica,104 St,Q,J Z,40.695178,-73.84433,996633,36081002400,0.514,36081002600,0.486,75230
5,83,Jamaica,Woodhaven Blvd,Q,J Z,40.693879,-73.851576,996633,36081002200,0.658,36081002000,0.342,77118
6,85,Jamaica,75 St,Q,J Z,40.691324,-73.867139,996633,36081000200,0.735,36081000400,0.265,65481
7,87,Jamaica,Crescent St,Bk,J Z,40.683194,-73.873785,996633,36047117800,0.81,36047117602,0.19,44933
8,88,Jamaica,Norwood Av,Bk,J Z,40.68141,-73.880039,996633,36047117400,0.882,36047116800,0.118,53626
9,90,Jamaica,Van Siclen Av,Bk,J Z,40.678024,-73.891688,996633,36047114600,0.795,36047119800,0.205,38820
10,92,Jamaica,Broadway Jct,Bk,J Z,40.679498,-73.904512,996633,36047036700,0.633,36047040500,0.367,54270
11,93,Jamaica,Chauncey St,Bk,J Z,40.682893,-73.910456,996633,36047040300,0.655,36047036900,0.345,36587
12,95,Jamaica,Gates Av,Bk,J Z,40.68963,-73.92227,996633,36047037500,0.77,36047039700,0.23,38215
13,97,Jamaica,Myrtle Av,Bk,J M Z,40.697207,-73.935657,996633,36047028700,0.892,36047038900,0.108,35566
14,101,Jamaica,Marcy Av,Bk,J M Z,40.708359,-73.957757,996633,36047052500,0.692,36047052300,0.308,37828
15,102,Jamaica,Essex St,M,J M Z,40.718315,-73.987437,996633,36061001402,0.7,36061003001,0.3,42607
16,103,Jamaica,Bowery,M,J Z,40.72028,-73.993915,996633,36061004100,0.547,36061001800,0.453,73804
17,104,Jamaica,Canal St,M,J Z,40.718092,-73.999892,996633,36061004500,0.671,36061004100,0.329,122323
18,105,Jamaica,Chambers St,M,J Z,40.713243,-74.003401,996633,36061003100,0.629,36061002900,0.371,138087
19,106,Jamaica,Fulton St,M,J Z,40.710374,-74.007582,996633,36061002100,0.585,36061001300,0.415,204089
20,107,Jamaica,Broad St,M,J Z,40.706476,-74.011056,996633,36061001300,0.8,36061031704,0.2,143827
